aid,diffmaglim,fid,mjd,oid,sid,tid
"",20.6758,1,59310.3871065001,"ZTF18absrlhv","","ztf"
"",20.8875,1,59316.366192100104,"ZTF18absrlhv","","ztf"
"",19.7842,1,59328.342731500044,"ZTF18absrlhv","","ztf"
"",20.7367,1,59339.416203700006,"ZTF18absrlhv","","ztf"
"",20.9218,1,59341.324224499986,"ZTF18absrlhv","","ztf"
"",20.9165,1,59349.39064810006,"ZTF18absrlhv","","ztf"
"",20.0543,1,59354.39019680023,"ZTF18absrlhv","","ztf"
"",19.7965,1,59362.38878470007,"ZTF18absrlhv","","ztf"
"",19.8278,1,59381.31240739999,"ZTF18absrlhv","","ztf"
"",18.6363,1,59418.32489580009,"ZTF18absrlhv","","ztf"
"",18.0393,1,59419.351967600174,"ZTF18absrlhv","","ztf"
"",18.5537,1,59423.352661999874,"ZTF18absrlhv","","ztf"
"",20.1095,1,59439.26221060008,"ZTF18absrlhv","","ztf"
"",19.6578,1,59443.19874999998,"ZTF18absrlhv","","ztf"
"",19.3215,1,59446.28302079998,"ZTF18absrlhv","","ztf"
"",19.6207,1,59449.19927080022,"ZTF18absrlhv","","ztf"
"",19.7094,1,59451.22258100007,"ZTF18absrlhv","","ztf"
"",19.7202,1,59473.28526620008,"ZTF18absrlhv","","ztf"
"",19.2833,1,59476.244328700006,"ZTF18absrlhv","","ztf"
"",19.5148,1,59479.1808449002,"ZTF18absrlhv","","ztf"
"",17.0101,1,59490.19891199982,"ZTF18absrlhv","","ztf"
"",19.1184,1,59510.123124999925,"ZTF18absrlhv","","ztf"
"",18.888,1,59510.12504629977,"ZTF18absrlhv","","ztf"
"",19.7325,1,59512.17659719987,"ZTF18absrlhv","","ztf"
"",19.6532,1,59623.429016199894,"ZTF18absrlhv","","ztf"
"",19.3908,1,59625.516145799775,"ZTF18absrlhv","","ztf"
"",19.2073,1,59628.36986109987,"ZTF18absrlhv","","ztf"
"",19.3379,1,59628.49027779978,"ZTF18absrlhv","","ztf"
"",19.8507,1,59630.449178200215,"ZTF18absrlhv","","ztf"
"",19.7135,1,59637.38942130003,"ZTF18absrlhv","","ztf"
"",19.2916,1,59637.51563660009,"ZTF18absrlhv","","ztf"
"",19.891,1,59639.38891200023,"ZTF18absrlhv","","ztf"
"",20.3447,1,59673.34423610009,"ZTF18absrlhv","","ztf"
"",19.6608,1,59677.325914400164,"ZTF18absrlhv","","ztf"
"",19.5146,1,59683.30613429984,"ZTF18absrlhv","","ztf"
"",19.1835,1,59685.388680600096,"ZTF18absrlhv","","ztf"
"",17.1755,1,59688.40526620019,"ZTF18absrlhv","","ztf"
"",20.7943,1,59738.38950229995,"ZTF18absrlhv","","ztf"
"",20.4894,1,59739.37021989981,"ZTF18absrlhv","","ztf"
"",20.3149,1,59740.387881900184,"ZTF18absrlhv","","ztf"
"",20.1222,1,59741.40843749978,"ZTF18absrlhv","","ztf"
"",19.3491,1,59742.429236100055,"ZTF18absrlhv","","ztf"
"",19.2381,1,59743.38686340023,"ZTF18absrlhv","","ztf"
"",19.2112,1,59744.43015050003,"ZTF18absrlhv","","ztf"
"",20.6624,1,59748.26354169985,"ZTF18absrlhv","","ztf"
"",20.2709,1,59748.286365699954,"ZTF18absrlhv","","ztf"
"",20.5235,1,59750.26440969994,"ZTF18absrlhv","","ztf"
"",20.578,1,59750.28596059978,"ZTF18absrlhv","","ztf"
"",20.6362,1,59752.30723380018,"ZTF18absrlhv","","ztf"
"",20.5541,1,59752.30960649997,"ZTF18absrlhv","","ztf"
"",20.5614,1,59755.28097219998,"ZTF18absrlhv","","ztf"
"",20.6798,1,59757.26408560015,"ZTF18absrlhv","","ztf"
"",20.5939,1,59757.26837959979,"ZTF18absrlhv","","ztf"
"",20.6124,1,59757.287476900034,"ZTF18absrlhv","","ztf"
"",20.6374,1,59757.304293999914,"ZTF18absrlhv","","ztf"
"",20.6171,1,59759.25927079981,"ZTF18absrlhv","","ztf"
"",20.6398,1,59759.262581000105,"ZTF18absrlhv","","ztf"
"",20.6146,1,59761.30434030015,"ZTF18absrlhv","","ztf"
"",19.7672,1,59761.30668980023,"ZTF18absrlhv","","ztf"
"",20.5059,1,59763.3679630002,"ZTF18absrlhv","","ztf"
"",20.4793,1,59763.371030100156,"ZTF18absrlhv","","ztf"
"",20.6997,1,59765.283171299845,"ZTF18absrlhv","","ztf"
"",20.4706,1,59768.30587959988,"ZTF18absrlhv","","ztf"
"",20.6099,1,59768.37114580022,"ZTF18absrlhv","","ztf"
"",20.0672,1,59770.217222199775,"ZTF18absrlhv","","ztf"
"",19.859,1,59770.21959490003,"ZTF18absrlhv","","ztf"
"",19.9637,1,59770.3059605998,"ZTF18absrlhv","","ztf"
"",18.1085,1,59780.28417820018,"ZTF18absrlhv","","ztf"
"",19.9449,1,59792.2820255002,"ZTF18absrlhv","","ztf"
"",20.2337,1,59794.32461810019,"ZTF18absrlhv","","ztf"
"",19.6448,1,59802.30452550016,"ZTF18absrlhv","","ztf"
"",19.5901,1,59802.3059605998,"ZTF18absrlhv","","ztf"
"",18.5808,1,59805.22658560006,"ZTF18absrlhv","","ztf"
"",18.6542,1,59805.24430559995,"ZTF18absrlhv","","ztf"
"",19.8119,1,59809.34568289993,"ZTF18absrlhv","","ztf"
"",19.6097,1,59828.199479199946,"ZTF18absrlhv","","ztf"
"",20.3313,1,59847.163831000216,"ZTF18absrlhv","","ztf"
"",19.5636,1,59857.23951390013,"ZTF18absrlhv","","ztf"
